"phrase","n"
"na tva<U+1E41> addasa manussesu pa<U+1E6D>hama<U+1E41> devaduta<U+1E41> patubhutan",1
"na tva<U+1E41> addasa manussesu pañcama<U+1E41> devaduta<U+1E41> patubhutan",1
"na tva<U+1E41> addasa manussesu rajano cora<U+1E41> agucari<U+1E41> gahetva vividha kammakara<U+1E47>a karente",1
"na tva<U+1E41> addasa manussesu ta",1
"na tva<U+1E41> agara<U+1E41> ajjhavaseyyasi",1
"na tveva araha",1
"na tveva tathagatassa brahmaloka<U+1E41> va brahmalokagamini<U+1E41> va pa<U+1E6D>ipada<U+1E41> pu<U+1E6D><U+1E6D>hassa dandhayitatta<U+1E41> va vitthayitatta<U+1E41> va",1
"na tveva tava ariyasavako ni<U+1E6D><U+1E6D>ha<U+1E41> gato ho",1
"na tveva tava ariyassa vinaye sabbena sabba<U+1E41> sabbatha sabba<U+1E41> voharasamucchedo hoti",1
"na tveva tava saccanubodho hoti",1
"na tveva tava saccanuppat",1
"na tveva vara<U+1E41> ya<U+1E41> rattandhakara",1
"na tvevaha<U+1E41>",1
"na ubhayabyabadhaya mante",1
"na udarena na pi<U+1E6D><U+1E6D>hiya",1
"na uddissakata<U+1E41>",1
"na upacika u<U+1E6D><U+1E6D>haheyyu<U+1E41>",1
"na upekkhasukhassadagadhita<U+1E41> na upekkhasukhassadavinibandha<U+1E41> na upekkhasukhassadasa<U+1E41>yojanasa<U+1E41>yutta<U+1E41> ajjhatta<U+1E41> citta<U+1E41> asa<U+1E47><U+1E6D>hitan",1
"na uppilan",1
"na ussahami bhuñjitu<U+1E41>",1
"na ussahami ekasanabhojana<U+1E41> bhuñjitu<U+1E41>",1
"na va",1
"na va<U+1E47><U+1E47>ena sarena va",1
"na vanakammika uddhareyyu<U+1E41>",1
"na vataya<U+1E41> bhava<U+1E41> puriso aññasi sara<U+1E41> na aññasi pheggu<U+1E41> na aññasi taca<U+1E41> na aññasi papa<U+1E6D>ika<U+1E41> na aññasi sakhapalasa<U+1E41>",1
"na vaya<U+1E41> dusi maro mattamaññasi",1
"na ve aggi cetaya",1
"na vedana<U+1E41> attato samanupassa",1
"na vedanavanta<U+1E41> va attana<U+1E41> na attani va vedana<U+1E41> na vedanaya va attana<U+1E41>",1
"na vedha",1
"na vibhusanaya",1
"na vicikicchaparetena",1
"na vicikicchapariyu<U+1E6D><U+1E6D>hitena cetasa vihara",1
"na viñña<U+1E47>a<U+1E41> attato samanupassa",1
"na vivekajapi",1
"na viya maññe cakkhu<U+1E41> bandhan",1
"na viya maññe cakkhu<U+1E41> bandhante janassa dassanaya",1
"na viya maññe cakkhu<U+1E41> bandhatha janassa dassanaya",1
"na vo aha<U+1E41>",1
"na vo mama san",1
"na yida<U+1E41> saññavedayitanirodha<U+1E41> samapannassa bhikkhuno vu<U+1E6D><U+1E6D>hana<U+1E41> paññayetha",1
"na<U+1E37>agara va",1
"na<U+1E37>aka raññiki<U+1E6D>agirinamo",1
"na<U+1E37>akapanasutta<U+1E41> ni<U+1E6D><U+1E6D>hita<U+1E41> a<U+1E6D><U+1E6D>hama<U+1E41>",1
"na<U+1E37>akapane palasavane",1
"na<U+1E41> ñati pakiriya kese",1
"na<U+1E45>gulihi nakhehi va",1
"ña<U+1E47>adassanakatha i",1
"ña<U+1E47>adassanasampadakathañca bhikkhuna<U+1E41> katta",1
"ña<U+1E47>adassanavisuddhi yavadeva anupadaparinibbanattha",1
"ña<U+1E47>adassanena ca ye aññe dhamma uttaritara ca pa<U+1E47>itatara ca tesa<U+1E41> dhammana<U+1E41> sacchikiriyaya chanda<U+1E41> jane",1
"ña<U+1E47>adassanena ca ye aññe dhamma uttaritara ca pa<U+1E47>itatara ca tesa<U+1E41> dhammana<U+1E41> sacchikiriyaya na chanda<U+1E41> jane",1
"ña<U+1E47>añca pana nesa<U+1E41> dassana<U+1E41> udapadi",1
"na<U+1E6D>aputto sabbaññu sabbadassavi",1
"na<U+1E6D>aputto sabbaññu sabbadassavi aparisesa<U+1E41> ña<U+1E47>adassana<U+1E41> pa<U+1E6D>ijana",1
"nabhiha<U+1E6D>a<U+1E41> na uddissakata<U+1E41> na nimantana<U+1E41> sadiyami",1
"nabhijanami kañci ajivaka<U+1E41> saggupaga<U+1E41> aññatra ekena",1
"naccagitavaditavisukadassana pa<U+1E6D>ivirato ahosi<U+1E41>",1
"naccasanne pada<U+1E41> nikkhipa",1
"nadi gambhira appameyya",1
"nadina<U+1E41> sagaro mukha<U+1E41>",1
"naga vandantu satthuno",1
"nagara ete tayo kulaputta agarasma anagariya<U+1E41> pabbajita",1
"nagaraka<U+1E41> nama sakyana<U+1E41> nigamo",1
"nagarakamha meda<U+1E37>upa<U+1E41> nama sakyana<U+1E41> nigamo hoti",1
"nagarampi daha",1
"nagaravindeyyaka brahma<U+1E47>agahapa",1
"nagaravindeyyasutta<U+1E41> ni<U+1E6D><U+1E6D>hita<U+1E41> a<U+1E6D><U+1E6D>hama<U+1E41>",1
"nagassa pantasenassa",1
"nagavane ucca ka<U+1E37>arika nama hatthiniyo mahapada",1
"nagavane ucca ka<U+1E47>eruka nama hatthiniyo mahapada",1
"nagavane vamanika nama hatthiniyo mahapada",1
"nagavaniko nagavana<U+1E41> paviseyya",1
"nagavaniko rañño khat",1
"naggo na caggimasino",1
"naha<U+1E41> aramagatana<U+1E41> bhikkhuna<U+1E41> dhamma<U+1E41> desemi",1
"naha<U+1E41> aramagatana<U+1E41> upasikana<U+1E41> dhamma<U+1E41> desemi",1
"naha<U+1E41> bhattagge bhuttavi anumodami",1
"naha<U+1E41> janami",1
"naha<U+1E41> kvacani kassaci kiñcanatasmi<U+1E41>",1
"naha<U+1E41> labhi pa<U+1E47>itana<U+1E41> civaranan",1
"naha<U+1E41> labhi pa<U+1E47>itana<U+1E41> gilanappaccayabhesajjaparikkharanan",1
"naha<U+1E41> lacchami paratthapi",1
"naha<U+1E41> passami imesu dhammesu dvepi bhikkhu nanavade",1
"naha<U+1E41> ta<U+1E41> sarami",1
"naha<U+1E41> ta<U+1E41> sarami evarupi<U+1E41> garuka<U+1E41> apat",1
"naha<U+1E41> tassa kiñci papa<U+1E41> akara<U+1E47>iyan",1
"naha<U+1E41> tattha bhavanta<U+1E41> aggivessana<U+1E41> uttari<U+1E41> pa<U+1E6D>ipucchissami",1
"naha<U+1E41> tattha kiñci nanakara<U+1E47>a<U+1E41> vadami",1
"nahamasmi bhayuparato",1
"najivikapakata agarasma anagariya<U+1E41> pabbajita",1
"nakkhattana<U+1E41> mukha<U+1E41> cando",1
"nala<U+1E41> abhivaditu<U+1E41>",1
"nala<U+1E41> ajjhositun",1
"nama cattarisena",1
"nama kulaputto bhagavanta<U+1E41> uddissa saddhaya agarasma anagariya<U+1E41> pabbajito",1
"nama kulaputto bhagavata sa<U+1E45>khittena ovadena ovadito so kala<U+1E45>kato",1
"namagotta<U+1E41> pakappita<U+1E41>",1
"namani me kittayato su<U+1E47>atha",1
"namarupa<U+1E41> kho",1
"namarupa<U+1E41> paccayo viñña<U+1E47>akkhandhassa paññapanaya",1
"namarupanirodha nu kho",1
"namarupanirodhagamini<U+1E41> pa<U+1E6D>ipadañca pajana",1
"namarupanirodhañca pajana",1
"namarupapaccaya nu kho",1
"namarupasamudaya sa<U+1E37>ayatanasamudayo",1
"namarupasamudayañca pajana",1
"nanakara<U+1E47>a<U+1E41> passami",1
"nanapupphana<U+1E41> mahapuppharasi",1
"nanatta<U+1E41> abhinanda",1
"nanatta<U+1E41> me",1
"nanatta<U+1E41> nanattato sañjana",1
"nanatta<U+1E41> nanattato saññatva nanatta<U+1E41> mañña",1
"nanattasañña kho me udapadi",1
"nanattasaññadhikara<U+1E47>añca pana me samadhi cavi",1
"nanattasaññana<U+1E41> amanasikara",1
"nanattasaññana<U+1E41> amanasikara ananto akaso",1
"nanattasaññi atta ca loko ca",1
"nanattasmi<U+1E41> mañña",1
"nanattato mañña",1
"nanda<U+1E41> vaccha<U+1E41>",1
"nandakovadasutta<U+1E41> ni<U+1E6D><U+1E6D>hita<U+1E41> catuttha<U+1E41>",1
"nandiñca na upadiyin",1
"nando vaccho",1
"nañña<U+1E41> bhiyyo amaññaru<U+1E41>",1
"naññassa sama<U+1E47>assa va brahma<U+1E47>assa va sutva vadami",1
"naññesa<U+1E41> dana<U+1E41> databba<U+1E41>",1
"naññesa<U+1E41> dinna<U+1E41> mahapphala<U+1E41>",1
"naññesa<U+1E41> savakana<U+1E41> dana<U+1E41> databba<U+1E41>",1
"naññesa<U+1E41> savakana<U+1E41> dinna<U+1E41> mahapphalan",1
"nanu eva<U+1E41> sante",1
"nanu eva<U+1E41> sante brahma<U+1E47>ana<U+1E41> amulika saddha sampajjati",1
"nanu eva<U+1E41> sante tassa purisassa appa<U+1E6D>ihirakata<U+1E41> bhasita<U+1E41> sampajjati",1
"nanu kho ahesumha atitamaddhana<U+1E41>",1
"nanu kho bhavissama anagatamaddhana<U+1E41>",1
"nanu ma<U+1E41>",1
"nanu me tumhe",1
"nanu so vejjo yavadeva kilamathassa vighatassa bhagi assa",1
"nanu tumhe",1
"nanu tva<U+1E41> eva<U+1E41> sante dukkha<U+1E41> allino dukkha<U+1E41> upagato dukkha<U+1E41> ajjhosito",1
"naphala<U+1E41> brahmacariya<U+1E41>",1
"napi aññe pa<U+1E6D>irajano",1
"napi kala<U+1E41> karo",1
"napi kasika<U+1E41> vattha<U+1E41> ma<U+1E47>iratana<U+1E41> makkhe",1
"napi kira ma<U+1E41> tva<U+1E41> vadesi",1
"napi me",1
"napi me natthi pa",1
"napi me natthi sappayani bhesajjani",1
"napi raja magadho seniyo bimbisaro niman",1
"napi sa<U+1E41>sidami",1
"napi so bhagava sabba<U+1E41> jhana<U+1E41> na va<U+1E47><U+1E47>esi",1
"napi vesalika licchavi",1
"napi vivaho bhavissa",1
"narassa hi sujatassa",1
"nasada vakara<U+1E41> migo",1
"nasakkhi pañhana<U+1E41> pariyanta<U+1E41> gahetu<U+1E41>",1
"nasakkhimha ari<U+1E6D><U+1E6D>ha<U+1E41> bhikkhu<U+1E41> gaddhabadhipubba<U+1E41> etasma papaka di<U+1E6D><U+1E6D>higata vivecetu<U+1E41>",1
"nasakkhimha assajipunabbasuke bhikkhu saññapetu<U+1E41>",1
"nasakkhimha da<U+1E47><U+1E0D>enapi satthenapi dametu<U+1E41> so bhagavata ada<U+1E47><U+1E0D>ena asattheneva danto",1
"nasakkhimha pañhena paripuretu<U+1E41> ta<U+1E41>",1
"nasakkhimha sa",1
"naseyya okacarika<U+1E41>",1
"nasita okacarika",1
"nassa kiñci sabbavata<U+1E41>",1
"ñataka tva<U+1E41> acchinditva aññassa datukama",1
"ñatidha mitta atha va sahaya",1
"nattamatta maññe",1
"natthi aya<U+1E41> loko natthi paro loko",1
"natthi bale sahayata",1
"natthi ca nava santara<U+1E47>i uttarasetu va apara para<U+1E41> gamanaya",1
"natthi candimasuriya",1
"natthi candimasuriyana<U+1E41> dassavi",1
"natthi dani kiñci rañño nagassa akara<U+1E47>iyan",1
"natthi dinna<U+1E41> natthi yi<U+1E6D><U+1E6D>ha<U+1E41> natthi huta<U+1E41>",1
"natthi etarahi kayasmi<U+1E41> sedo",1
"natthi hetu natthi paccayo sattana<U+1E41> visuddhiya",1
"natthi ito bahiddha añño sama<U+1E47>o va brahma<U+1E47>o va tatharupaya di<U+1E6D><U+1E6D>hiya samannagato",1
"natthi ka<U+1E47>hasukkana<U+1E41> rupana<U+1E41> dassavi",1
"natthi ka<U+1E47>hasukkani rupani",1
"natthi kamesu doso",1
"natthi kho imassayasmato tatharupa dosaniya dhamma yatharupehi dosaniyehi dhammehi pariyadinnacitto ajana<U+1E41> va vadeyya",1
"natthi kho imassayasmato tatharupa lobhaniya dhamma yatharupehi lobhaniyehi dhammehi pariyadinnacitto ajana<U+1E41> va vadeyya",1
"natthi kho imassayasmato tatharupa mohaniya dhamma yatharupehi mohaniyehi dhammehi pariyadinnacitto ajana<U+1E41> va vadeyya",1
"natthi kho me imesu pañcasu kamagu<U+1E47>esu aññatarasmi<U+1E41> va aññatarasmi<U+1E41> va ayatane uppajja",1
"natthi kho me ta<U+1E41> pariyu<U+1E6D><U+1E6D>hana<U+1E41> ajjhatta<U+1E41> appahina<U+1E41>",1
"natthi kho no",1
"natthi kho pana tattha tatharupa cakkhuviññeyya rupa ye disva disva abhirameyyu<U+1E41>",1
"natthi kho pana tattha tatharupa ghanaviññeyya gandha ye ghayitva ghayitva abhirameyyu<U+1E41>",1
"natthi kho pana tattha tatharupa jivhaviññeyya rasa ye sayitva sayitva abhirameyyu<U+1E41>",1
"natthi kho pana tattha tatharupa kayaviññeyya pho<U+1E6D><U+1E6D>habba ye phusitva phusitva abhirameyyu<U+1E41>",1
"natthi kho pana tattha tatharupa sotaviññeyya sadda ye sutva sutva abhirameyyu<U+1E41>",1
"natthi kho paneta<U+1E41> sabbaso arupe",1
"natthi koci brahma<U+1E47>ana<U+1E41> ekacariyopi ekacariyapacariyopi",1
"natthi koci brahma<U+1E47>ana<U+1E41> ekacariyopi ekacariyapacariyopi yava sattama acariyamahayugapi yo evamaha",1
"natthi lohitakana<U+1E41> rupana<U+1E41> dassavi",1
"natthi lohitakani rupani",1
"natthi loke sama<U+1E47>abrahma<U+1E47>a sammaggata samma pa<U+1E6D>ipanna ye imañca loka<U+1E41> parañca loka<U+1E41> saya<U+1E41> abhiñña sacchikatva pavedenti",1
"natthi loke sama<U+1E47>abrahma<U+1E47>a sammaggata sammapa<U+1E6D>ipanna",1
"natthi mañji<U+1E6D><U+1E6D>hakana<U+1E41> rupana<U+1E41> dassavi",1
"natthi mañji<U+1E6D><U+1E6D>hakani rupani",1
"natthi mata natthi pita",1
"natthi me atta",1
"natthi me tattha cakkhuviññeyyesu rupesu chando va rago va doso va moho va pa<U+1E6D>igha<U+1E41> vapi cetaso",1
"natthi me tattha manoviññeyyesu dhammesu chando va rago va doso va moho va pa<U+1E6D>igha<U+1E41> vapi cetaso",1
"natthi nilakana<U+1E41> rupana<U+1E41> dassavi",1
"natthi nilakani rupani",1
"natthi pa<U+1E47><U+1E0D>itato upaddavo",1
"natthi pa<U+1E47><U+1E0D>itato upasaggo",1
"natthi pitakana<U+1E41> rupana<U+1E41> dassavi",1
"natthi pitakani rupani",1
"natthi samavisama<U+1E41>",1
"natthi samavisamassa dassavi",1
"natthi sappayani bhojanani",1
"natthi tarakarupana<U+1E41> dassavi",1
"natthi tarakarupani",1
"natthi te ito bhayan",1
"natthi yena jayetha",1
"nava navaka",1
"nava<U+1E41> dussayuga<U+1E41> ra<U+1E45>gakkhamañceva ako<U+1E6D>anakkhamañca vimajjanakkhamañca",1
"navaka<U+1E45>khami jivitan",1
"navasivathikapabba<U+1E41> ni<U+1E6D><U+1E6D>hita<U+1E41>",1
"nayamayasma ta<U+1E41> tena avajana",1
"ñayappa<U+1E6D>ipanno bhagavato savakasa<U+1E45>gho",1
"ñayassa adhigamaya",1
"nayida<U+1E41> attha<U+1E41> upaparikkheyya",1
"nayida<U+1E41> chando jayetha",1
"nayida<U+1E41> dhamma nijjhana<U+1E41> khameyyu<U+1E41>",1
"nayida<U+1E41> dhamma<U+1E41> dhareyya",1
"nayida<U+1E41> dhamma<U+1E41> su<U+1E47>eyya",1
"nayida<U+1E41> padaheyya",1
"nayida<U+1E41> payirupaseyya",1
"nayida<U+1E41> saccamanupapu<U+1E47>eyya",1
"nayida<U+1E41> sota<U+1E41> odaheyya",1
"nayida<U+1E41> tuleyya",1
"nayida<U+1E41> upasa<U+1E45>kameyya",1
"nayida<U+1E41> ussaheyya",1
"ñca ara",1
"ñca dukkhavipaka<U+1E41> ta<U+1E41> vidva vijjagato yathabhuta<U+1E41> pajana",1
"ñca pajana",1
"ñca pajanami ju",1
"ñca sabbaso",1
"ñca sukhavipaka<U+1E41> ta<U+1E41> vidva vijjagato yathabhuta<U+1E41> pajana",1
"ñca sukhavipaka<U+1E41> tadaññe puthusama<U+1E47>abrahma<U+1E47>aparappavade abhivihacca bhasate ca tapate ca virocate ca",1
"ndiva<U+1E41> ekantasukha<U+1E41> pa<U+1E6D>isa<U+1E41>vedi viharitu<U+1E41>",1
"ndiva<U+1E41> ekantasukha<U+1E41> pa<U+1E6D>isa<U+1E41>vedi viharitun",1
"ndivani ekantasukha<U+1E41> pa<U+1E6D>isa<U+1E41>vedi viharitu<U+1E41>",1
"ndivani ekantasukha<U+1E41> pa<U+1E6D>isa<U+1E41>vedi viharitun",1
"ndriya dukkhasamphassesuyeva kamesu sukhami",1
"ndriya<U+1E41> bhave",1
"ndriyasa<U+1E41>varasa<U+1E41>vuto vihara",1
"ndriyo dukkhasamphasseyeva aggismi<U+1E41> sukhami",1
"ndukacire ekasalake mallikaya arame pa<U+1E6D>ivasa",1
"ndukaciro ekasalako mallikaya aramo yena uggahamano paribbajako sama<U+1E47>amu<U+1E47><U+1E0D>ikaputto tenupasa<U+1E45>kameyyan",1
"ndukaciro ekasalako mallikaya aramo yena uggahamano paribbajako sama<U+1E47>amu<U+1E47><U+1E0D>ikaputto tenupasa<U+1E45>kami",1
"ndukakha<U+1E47>u nekavassaga<U+1E47>iko sannicito ho",1
"nekana<U+1E41> bhariyaga<U+1E47>ana<U+1E41> cayo",1
"nekana<U+1E41> dasaga<U+1E47>ana<U+1E41> cayo",1
"nekana<U+1E41> dasiga<U+1E47>ana<U+1E41> cayo",1
"nekana<U+1E41> dhaññaga<U+1E47>ana<U+1E41> cayo",1
"nekana<U+1E41> khettaga<U+1E47>ana<U+1E41> cayo",1
"nekana<U+1E41> nikkhaga<U+1E47>ana<U+1E41> cayo",1
"nekana<U+1E41> vatthuga<U+1E47>ana<U+1E41> cayo",1
"nekkhammasukha<U+1E41> pavivekasukha<U+1E41> upasamasukha<U+1E41> sambodhasukha<U+1E41>",1
"nekkhammasukha<U+1E41> pavivekasukha<U+1E41> upasamasukha<U+1E41> sambodhisukha<U+1E41>",1
"nekkhammavitakka<U+1E41> bahulamakasi",1
"nekkhammavitakko abyapadavitakko avihi<U+1E41>savitakko i",1
"nekkhamme anisa<U+1E41>sa<U+1E41> pakasesi",1
"nepakkena samannagato",1
"nesa bhoto anandassa katha dullabha bhavissa",1
"neta<U+1E41> ayasmato anandassa kappati",1
"nete bhavante pucchan",1
"netta añjanamakkhita",1
"neva davaya na madaya na ma<U+1E47><U+1E0D>anaya na vibhusanaya yavadeva imassa kayassa <U+1E6D>hi",1
"neva di<U+1E6D><U+1E6D>ha<U+1E41> na suta<U+1E41> raja va rajamahamatto va pañcahi kamagu<U+1E47>ehi samappito sama<U+1E45>gibhuto paricarayamano kamata<U+1E47>ha<U+1E41> appahaya kamapari<U+1E37>aha<U+1E41> appa<U+1E6D>ivinodetva vigatapipaso ajjhatta<U+1E41> vupasantacitto vihasi va vihara",1
"neva kho",1
"neva kho asakkhi bharadvajo ma<U+1E47>avo vase<U+1E6D><U+1E6D>ha<U+1E41> ma<U+1E47>ava<U+1E41> saññapetu<U+1E41>",1
"neva kho sakkhi ayasma udayi pañcaka<U+1E45>ga<U+1E41> thapa",1
"neva rajabhinita agarasma anagariya<U+1E41> pabbajita",1
"neva tasmi<U+1E41> samaye bhagavato savakana<U+1E41> khipitasaddo va ho",1
"neva tasmi<U+1E41> samaye dukkha<U+1E41> vedana<U+1E41> vede",1
"neva tava",1
"neva tava ca<U+1E45>kamami na nisidami na nipajjami",1
"neva tava hatthagato neva tava vasa<U+1E45>gato",1
"neva tava nipajjami na",1
"neva tava nisidami na",1
"neva tumhaka<U+1E41> tasmi<U+1E41> samaye metta<U+1E41> kayakamma<U+1E41> paccupa<U+1E6D><U+1E6D>hita<U+1E41> ho",1
"nevaha<U+1E41> ta<U+1E41> vadami",1
"nevantava nanantava atta ca loko ca",1
"nevapikassa ca nevapikaparisaya ca tatrasaya<U+1E41> kappayi<U+1E41>su",1
"nevapikassa ca nevapikaparisaya ca tatrasaya<U+1E41> kappeyyama",1
"nevapiko ca nevapikaparisa ca catutthe migajate",1
"nevapiko ca nevapikaparisa ca ta",1
"nevasa<U+1E41> nanasañcepi karitva valika<U+1E41> do<U+1E47>iya akiritva udakena paripphosaka<U+1E41> paripphosaka<U+1E41> pi<U+1E37>eyya",1
"nevasa<U+1E41> nanasañcepi karitva yoniso brahmacariya<U+1E41> caran",1
"nevasaññanasaññayatana<U+1E41> abhinanda",1
"nevasaññanasaññayatana<U+1E41> me",1
"nevasaññanasaññayatana<U+1E41> nevasaññanasaññayatanato sañjana",1
"nevasaññanasaññayatana<U+1E41> nevasaññanasaññayatanato saññatva nevasaññanasaññayatana<U+1E41> mañña",1
"nevasaññanasaññayatanadhimuttassa kho",1
"nevasaññanasaññayatanadhimuttassa purisapuggalassa ye akiñcaññayatanasa<U+1E41>yojane se vante",1
"nevasaññanasaññayatanapa<U+1E6D>isa<U+1E41>yuttaya ca pana kathaya kacchamanaya na sussusa",1
"nevasaññanasaññayatanasa<U+1E41>yojanena hi kho visa<U+1E41>yutto samma nibbanadhimutto purisapuggalo",1
"nevasaññanasaññayatanasañña<U+1E41> pa<U+1E6D>icca manasi karo",1
"nevasaññanasaññayatanasappaya pa<U+1E6D>ipada akkhayati",1
"nevasaññanasaññayatanasmi<U+1E41> mañña",1
"nevasaññanasaññayatanassapi pahana<U+1E41> vadami",1
"nevasaññanasaññayatanato mañña",1
"nevasaññinasaññi atta ho",1
"nevasaññinasaññi bhavissan",1
"nevasassato nasassato atta ca loko ca",1
"nevassu me sakko",1
"nevatthi tathagatassa paññaveyyat",1
"nevidha na hura<U+1E41> na ubhayamantarena",1
"neyya<U+1E41> kho",1
"neyya<U+1E41> panavuso",1
"nharu<U+1E41> chetva a<U+1E6D><U+1E6D>hi<U+1E41> chindan",1
"nhatakassa padakassa",1
"nhatassa hon",1
"ni ki<U+1E45>karapa<U+1E6D>issavini manapacarini piyavadini",1
"ni<U+1E6D><U+1E6D>ha anuruddhappa<U+1E6D>iviruddhassa udahu ananuruddhaappa<U+1E6D>iviruddhassa",1
"ni<U+1E6D><U+1E6D>ha papañcaramassa papañcara",1
"ni<U+1E6D><U+1E6D>ha sadosassa udahu vitadosassa",1
"ni<U+1E6D><U+1E6D>ha samohassa udahu vitamohassa",1
"ni<U+1E6D><U+1E6D>ha saragassa udahu vitaragassa",1
"ni<U+1E6D><U+1E6D>ha sata<U+1E47>hassa udahu vitata<U+1E47>hassa",1
"ni<U+1E6D><U+1E6D>ha saupadanassa udahu anupadanassa",1
"ni<U+1E6D><U+1E6D>ha viddasuno udahu aviddasuno",1
"ni<U+1E6D><U+1E6D>hitacivaro bhagava temasaccayena carika<U+1E41> pakkamissa",1
"ni<U+1E6D><U+1E6D>hitacivaro bhagava temasaccayena carika<U+1E41> pakkamissati",1
"nibbana<U+1E41> abhinanda",1
"nibbana<U+1E41> mabhinandi",1
"nibbana<U+1E41> na passeyyasi",1
"nibbana<U+1E41> nibbanato abhiññaya nibbana<U+1E41> ma maññi",1
"nibbana<U+1E41> nibbanato sañjana",1
"nibbana<U+1E41> nibbanato saññatva nibbana<U+1E41> mañña",1
"nibbana<U+1E41> pa<U+1E6D>ibhago",1
"nibbana<U+1E41> passeyyasi",1
"nibbana<U+1E41> passeyyasi",1
"nibbanagamiñca magga<U+1E41>",1
"nibbanagaminiñca pa<U+1E6D>ipada<U+1E41>",1
"nibbanaparayana<U+1E41> nibbanapariyosana<U+1E41>",1
"nibbanasmi<U+1E41> ma maññi",1
"nibbanasmi<U+1E41> mañña",1
"nibbanassa panayye",1
"nibbanassa sacchikiriyaya",1
"nibbanato ma maññi",1
"nibbanato mañña",1
"nibbida virajja",1
"nicakulinasa<U+1E41>vattanika esa",1
"nicakulinasa<U+1E41>vattanika pa<U+1E6D>ipada nicakulinatta<U+1E41> upane",1
"nicakulino ho",1
"nicca<U+1E41>yeva samana<U+1E41> niccan",1
"niccakappa<U+1E41> manasi katabba<U+1E41>",1
"niccampi balo pakkhando",1
"nidhaya da<U+1E47><U+1E0D>a<U+1E41> bhutesu",1
"niga<U+1E47><U+1E6D>ha eva<U+1E41> pu<U+1E6D><U+1E6D>ha ama",1
"niga<U+1E47><U+1E6D>ha evarupa di<U+1E6D><U+1E6D>hadhammupakkama ya<U+1E41> etarahi evarupa dukkha",1
"niga<U+1E47><U+1E6D>ha papabhija",1
"niga<U+1E47><U+1E6D>ha papakena issarena nimmita ya<U+1E41> etarahi evarupa dukkha",1
"niga<U+1E47><U+1E6D>ha papasa<U+1E45>ga",1
"niga<U+1E47><U+1E6D>ha pubbe dukka<U+1E6D>akammakarino ya<U+1E41> etarahi evarupa dukkha",1
"niga<U+1E47><U+1E6D>ha<U+1E41> na<U+1E6D>aputta<U+1E41> duratova agacchanta<U+1E41> disvana tato paccuggantva ya<U+1E41> tattha asana<U+1E41> aggañca se<U+1E6D><U+1E6D>hañca uttamañca pa<U+1E47>itañca ta<U+1E41> uttarasa<U+1E45>gena sammajjitva pariggahetva nisidape",1
"niga<U+1E47><U+1E6D>ha<U+1E41> na<U+1E6D>aputta<U+1E41> etadavoca",1
"niga<U+1E47><U+1E6D>ha<U+1E41> na<U+1E6D>aputta<U+1E41> etadavoca<U+1E41>",1
"niga<U+1E47><U+1E6D>hana<U+1E41> dasa sahadhammika vadanuvada garayha<U+1E41> <U+1E6D>hana<U+1E41> agacchan",1
"niga<U+1E47><U+1E6D>hana<U+1E41> ime dasa sahadhammika vadanuvada garayha<U+1E41> <U+1E6D>hana<U+1E41> agacchan",1
"niga<U+1E47><U+1E6D>hassa na<U+1E6D>aputtassa pa<U+1E6D>issutva u<U+1E6D><U+1E6D>hayasana niga<U+1E47><U+1E6D>ha<U+1E41> na<U+1E6D>aputta<U+1E41> abhivadetva padakkhi<U+1E47>a<U+1E41> katva yena pavarikambavana<U+1E41> yena bhagava tenupasa<U+1E45>kami",1
"niga<U+1E47><U+1E6D>hassa na<U+1E6D>aputtassa savako",1
"niga<U+1E47><U+1E6D>he upasa<U+1E45>kamitva eva<U+1E41> vadami",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto dighatapassi<U+1E41> niga<U+1E47><U+1E6D>ha<U+1E41> etadavoca",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto etadavoca",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto ka<U+1E41> vipaka<U+1E41> paññapeti",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto kammani paññape",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto katthupapat",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto kismi<U+1E41> paññapeti",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto no mahasavajja<U+1E41> paññapeti",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto savakana<U+1E41> na sakkato na garukato na manito na pujito",1
"niga<U+1E47><U+1E6D>ho na<U+1E6D>aputto upali<U+1E41> gahapa",1
"nigama ete tayo kulaputta agarasma anagariya<U+1E41> pabbajita",1
"nigamampi daha",1
"niggayha niggayhaha<U+1E41>",1
"nijjhayitatta<U+1E41> kho me rupana<U+1E41> udapadi",1
"nijjhayitatta<U+1E41> rupana<U+1E41> cittassa upakkilesa<U+1E41> pajahi<U+1E41>",1
"nijjhayitatta<U+1E41> rupana<U+1E41> cittassa upakkileso pahino ahosi",1
"nijjhayitatta<U+1E41> rupanan",1
"nijjhayitattadhikara<U+1E47>añca pana me rupana<U+1E41> samadhi cavi",1
"nikka<U+1E45>khassa pabhasakassa",1
